[LOG] Ready to accept requests...
[LOG] Adding graph: http://cpsv-ap/1471443875667
[LOG] JSON saved to sessions.json
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Adding graph: http://cpsv-ap/1471446360094
[LOG] JSON saved to sessions.json
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Serving: http://softwarelibero.altervista.org/test.rdf
[LOG] Not a good request:/
[LOG] Serving: http://softwarelibero.altervista.org/rdf/test.rdf
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Serving: http://softwarelibero.altervista.org/test.rdf
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Serving: http://softwarelibero.altervista.org/test.rdf
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
[LOG] Not a good request:/
